id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2AT8iROs4FQueDv2c8q2KE,0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,201726,4
7e8utCy2JlSB8dRHKi49xM,0.646,0.813,6,-5.29,0,0.0288,0.00178,2.26e-05,0.144,0.821,112.115,173493,4
086myS9r57YsLbJpU0TgK9,0.691,0.631,2,-6.478,1,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,161124,4
29EkMZmUNz1WsuzaMtVo1i,0.535,0.948,6,-4.19,0,0.0356,0.00225,0,0.376,0.778,103.183,173680,4
7nzsY8vlnKdvGOEE0rjAXZ,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,207357,4
3geFzA6VBSNZUTmV3bCry6,0.634,0.599,2,-5.447,1,0.0365,0.0288,0,0.197,0.312,112.215,175440,4
0NdTUS4UiNYCNn5FgVqKQY,0.728,0.638,5,-6.455,0,0.0336,0.249,0,0.116,0.872,130.014,193030,4
0ZRrJTPXDToRJ2iLo9oLrW,0.348,0.875,11,-4.758,0,0.199,0.0341,0,0.117,0.407,169.152,202133,4
5XeFesFbtLpXzIVDNQP22n,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,183956,4
3NfxSdJnVdon1axzloJgba,0.59,0.355,9,-14.051,1,0.0352,0.48,0,0.0585,0.499,133.03,216773,4
7s25THrKz86DM225dOYwnr,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,147600,4
5K09WxKdlkroDyEVyOSySy,0.65,0.323,0,-8.698,1,0.0283,0.213,0,0.187,0.276,110.962,166973,3
4yQw7FR9lcvL6RHtegbJBh,0.687,0.63,6,-10.817,1,0.0389,0.249,0,0.221,0.926,110.051,139733,4
4uCbetXW9LStYPUjCpBVp9,0.474,0.473,2,-11.454,1,0.0601,0.545,1.25e-06,0.0356,0.561,77.583,199267,4
2oZmMp5M6L0Rh7G84Um2tF,0.761,0.605,10,-9.899,1,0.0498,0.209,0,0.135,0.941,117.047,168933,4
4VijLEUxHEzbWKYL5u9wuN,0.513,0.303,3,-13.547,1,0.0374,0.57,0,0.0803,0.629,102.905,149627,4
6ZnHrF3PTc3JEVz4tlKAJh,0.735,0.812,7,-9.083,1,0.125,0.0332,0.0527,0.238,0.925,104.414,195573,4
2XgDgIsVUOt9Lov5G4Wruy,0.717,0.837,4,-5.49,1,0.0456,0.264,0,0.235,0.68,107.989,238000,4
4N54FUNMh4t4K82Zlsbjyy,0.475,0.269,0,-15.305,0,0.0676,0.906,0.000936,0.1,0.272,146.262,240827,4
4OafepJy2teCjYJbvFE60J,0.568,0.656,8,-5.413,1,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,198160,4
5OCJzvD7sykQEKHH7qAC3C,0.602,0.658,1,-5.934,1,0.0558,0.0233,6e-05,0.237,0.268,145.031,197547,4
2qT1uLXPVPzGgFOx4jtEuo,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,205920,4
70khXICDeTTxgYtw3EysKH,0.721,0.459,4,-6.408,1,0.032,0.248,0,0.212,0.46,119.914,208493,4
0WdR2AyLW1Drd3OUdwezM0,0.71,0.614,10,-6.757,0,0.0431,0.186,0,0.0974,0.658,148.152,172107,4
1pKeFVVUOPjFsOABub0OaV,0.65,0.736,6,-5.84,0,0.229,0.0513,0,0.235,0.612,159.174,226160,4
1xWH8zYtDeS9mW1JJG23VZ,0.831,0.485,10,-6.677,0,0.15,0.375,1.47e-05,0.118,0.622,80.022,245667,4
14kYOiFVPb7E7NfFbqhdln,0.708,0.454,1,-7.07,1,0.0395,0.0217,0,0.073,0.24,110.963,189507,4
0XOnMqLQDO89iAg7dWWwnG,0.652,0.31,4,-10.212,1,0.0509,0.43,1.16e-05,0.182,0.304,119.913,73813,4
2meEiZKWkiN28gITzFwQo5,0.623,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.372,107.853,244453,4
0P6TTXbSLGrSoTNMz5kvB7,0.616,0.577,1,-8.834,1,0.0407,0.535,0,0.0808,0.592,145.863,274507,4
7vCAPGfk46iIyikreugUay,0.558,0.744,4,-7.791,0,0.037,0.569,0.000148,0.24,0.54,128.949,186507,4
4OjKHySJHstsImlUW3qfml,0.561,0.366,9,-14.14,1,0.327,0.851,0,0.813,0.646,78.659,1116933,4
4rOnP375aaUNspsiMwjgpE,0.472,0.566,5,-10.292,1,0.041,0.815,0.00223,0.721,0.321,102.727,237240,4
4RqUEAv0YXitpXVDbf6nD7,0.428,0.392,6,-14.087,1,0.0384,0.695,0.000146,0.0953,0.602,152.822,170933,4
0SAhT2S63WhZ1NchfvBR48,0.603,0.552,8,-10.435,1,0.0424,0.707,0.000258,0.283,0.641,101.636,202200,4
0mJgYBqXh1B1KetCUVe3QT,0.62,0.848,0,-7.201,1,0.0391,0.354,0.00103,0.698,0.732,133.557,132880,4
2iKfD6WCmwfRUTKdBlYI5V,0.583,0.498,11,-13.083,0,0.0598,0.789,0.000155,0.722,0.488,108.692,239627,4
0Ihd3eh233Ns12Hxty5EIZ,0.528,0.627,9,-8.681,1,0.0723,0.0155,0.000125,0.145,0.653,134.513,232159,4
2mKJ49P2NrD8At77o39qzO,0.629,0.669,11,-7.443,1,0.0272,0.0793,0,0.092,0.734,136.68,172667,4
5thts3213xwSroRd11fv5A,0.844,0.609,10,-10.675,1,0.217,0.0074,0,0.563,0.725,91.117,296333,4
5DOYik1z3Of1wAFfY3dYbC,0.884,0.37,8,-11.353,1,0.112,0.0188,0.00423,0.026,0.883,109.997,247507,4
1aaoIHFT9UqhlaEwLAhh00,0.822,0.661,1,-10.234,0,0.164,0.0241,3.95e-06,0.315,0.67,99.883,272707,4
6JvodgYcsthsORxPsEYUoe,0.839,0.508,1,-12.359,1,0.219,0.0126,3.06e-05,0.0928,0.874,80.014,206893,4
1BPGVK07VnVlMx5KiGSxf4,0.9,0.635,10,-12.389,0,0.222,0.0265,2.9e-05,0.072,0.634,106.739,191200,4
7xFsooPFZVV9rYRN1XjtW2,0.579,0.299,9,-21.266,1,0.242,0.0521,1.23e-06,0.721,0.342,100.695,275067,4
0W3IXSJDX8GKqB7Fwm689b,0.7,0.669,1,-6.312,1,0.242,0.0395,4.02e-06,0.127,0.597,177.916,218147,4
28vLi9S7ViecENzhPGVZiy,0.937,0.678,1,-6.277,0,0.0942,0.0581,0,0.132,0.949,122.774,259133,4
44X6LzQxlk16s0lK4QIdxi,0.77,0.301,10,-15.161,0,0.173,0.0655,0.000487,0.207,0.403,83.96,338067,4
6Oz9XfeBlYgbwX8BN4uvQn,0.805,0.788,0,-12.398,1,0.0626,0.115,0.00273,0.132,0.571,124.077,205733,4
3Jy0dWV5AnnfyTvHK6UWof,0.38,0.21,7,-15.603,1,0.0319,0.745,0.45,0.0829,0.207,112.51,238600,4
13lhi3UOP0YnQMZVM4DYX6,0.538,0.217,6,-13.916,1,0.0299,0.87,3.96e-06,0.108,0.31,108.278,185160,4
5VAw5AYO7FAPCdaRvAmiTY,0.276,0.386,0,-13.194,1,0.0312,0.785,3.35e-05,0.0827,0.405,81.113,230787,4
3PHPlTmRwOtmJglZfWkqh5,0.48,0.349,7,-10.309,1,0.0296,0.748,0.000446,0.382,0.489,65.611,218800,4
05iPg44iQftuEjHXoXAlvT,0.435,0.207,2,-18.939,0,0.034,0.831,0.00478,0.306,0.429,95.918,191800,4
0bgtlqjzKW4KXufOlzGsKT,0.643,0.314,6,-19.362,1,0.0556,0.394,2.25e-05,0.0787,0.641,119.836,218720,4
4qgM3JoNp7BABiiYZ6yMf4,0.567,0.424,11,-9.219,0,0.031,0.645,2.34e-06,0.139,0.456,118.73,148093,4
5uiwK0A0tCBWR4QX1PWmDJ,0.368,0.303,0,-10.869,1,0.0278,0.777,3.03e-05,0.156,0.217,77.535,203800,4
54NlQe26MewAJKcetYESpW,0.425,0.231,5,-13.922,1,0.0358,0.707,0,0.129,0.375,75.667,216642,4
4mzWsVmYOhJ8PkGsQ5Yo4f,0.658,0.5,2,-9.262,1,0.0334,0.44,0.000779,0.0955,0.413,122.315,231693,4
6zMUIb4uce1CzpbjR3vMdN,0.477,0.728,0,-5.71,1,0.0831,0.358,0,0.11,0.69,89.209,227387,4
6pWzCKTrKrwbUPzY8RLCoP,0.712,0.805,4,-3.142,0,0.0739,0.433,0,0.179,0.851,94.973,209120,4
6dZ6qWl1e9GsMndBG7vqB9,0.624,0.702,5,-4.685,1,0.153,0.706,0,0.148,0.709,90.071,194160,4
6CbcdeTQKj0qTaZTt0xkdk,0.717,0.508,7,-6.392,0,0.029,0.263,3.76e-06,0.062,0.681,89.473,262560,4
0ygfSHAl7aW40FHDQjSsD8,0.843,0.608,9,-5.289,0,0.0574,0.0405,0,0.116,0.59,99.996,196571,4
6cZPfzVtkicrA3CyjqYKhu,0.669,0.576,0,-6.475,1,0.184,0.0103,0,0.04,0.456,79.042,265707,4
