id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,key_changes
60OKW0mZiPFHVpHl3eHueg,0.44799999999999995,0.84,1,-3.938,0,0.0361,0.0012,0.0,0.0883,0.235,157.985,215840,4,7
5vhT2fcFXcRPnJPQA0m1fv,0.38799999999999996,0.924,1,-2.502,1,0.0674,4e-05,0.105,0.31,0.628,177.97099999999998,214133,4,0
6AgtIN7FyBd4zJhZI7mrsz,0.49700000000000005,0.748,6,-4.5,1,0.0332,0.00227,0.0,0.136,0.27399999999999997,131.944,195893,4,6
6TghWaPh1WHJKWXow7iujH,0.47,0.882,6,-3.906,1,0.0638,0.0034700000000000004,1.62e-06,0.37200000000000005,0.32799999999999996,164.04,199680,4,7
3eFRjeJ74r4fmo0kXTdi8Y,0.304,0.79,1,-5.756,1,0.0371,0.00018600000000000002,0.000442,0.204,0.542,150.38299999999998,194093,3,6
5fEyUL1sp1cJC4YErd29I4,0.414,0.442,6,-7.525,1,0.0309,0.7559999999999999,0.0,0.0995,0.14400000000000002,141.295,223613,3,0
1OA2d84wOUeYfTtuJmO6Zn,0.491,0.941,1,-3.234,1,0.0475,7.31e-05,0.0126,0.313,0.36200000000000004,103.178,211280,4,7
2AMEArFOkOhRxTY3ahlPuc,0.29,0.8340000000000001,5,-4.369,0,0.0488,6.840000000000001e-05,0.0089,0.1,0.494,162.61,210013,3,7
5VzvK7YiwWbRePA2JOzhYq,0.408,0.79,11,-8.138,0,0.10300000000000001,0.26,0.00027,0.765,0.34700000000000003,122.624,223373,4,6
786h4kDeZiX5nYvOwA3wtE,0.611,0.833,3,-7.553999999999999,1,0.0351,0.0218,0.000204,0.0923,0.7929999999999999,108.49799999999999,219893,4,4
5nLhswlXx18vI65KkKKFgx,0.861,0.385,2,-10.057,1,0.0341,0.154,0.0,0.12300000000000001,0.494,117.913,193560,4,2
19X5dUlxVWC5jDg3eOysMz,0.77,0.45899999999999996,1,-17.453,1,0.0416,0.11199999999999999,0.00343,0.145,0.963,133.351,236653,4,7
5v6b9RUk83Z33shcsqt1m3,0.616,0.762,6,-8.766,1,0.0266,0.018000000000000002,0.00456,0.0872,0.779,124.637,245560,4,1
32xXojNvbRTQ9qfb3mWR69,0.622,0.8759999999999999,10,-6.31,1,0.0305,0.0193,0.006840000000000001,0.0987,0.867,104.97,185960,4,5
0oyj088gTacb4sWeMBBpfb,0.586,0.5660000000000001,9,-16.305,1,0.0398,0.011000000000000001,0.000124,0.0741,0.585,99.98,289027,4,4
3jJDFiNmHsU18FxvklXwIK,0.616,0.511,6,-15.894,1,0.0279,0.0384,0.0,0.15,0.604,132.015,206413,4,4
48wdHboeyHMI3y7sDRHQPi,0.498,0.914,3,-9.2,1,0.0635,0.107,0.00235,0.8909999999999999,0.622,106.492,293533,4,6
5e4AzYhsqefoINOnqChSK1,0.424,0.6970000000000001,0,-5.92,1,0.0329,0.111,5.18e-06,0.971,0.342,100.61399999999999,255667,4,6
2SLZ2rX5773RS16mcqBxG7,0.677,0.52,4,-6.255,0,0.33399999999999996,0.00277,0.0,0.0532,0.768,203.862,193093,4,4
3kVIFDE3G89I2RPVkiRaRj,0.685,0.38,8,-11.219000000000001,1,0.11199999999999999,0.373,0.0,0.0371,0.87,175.562,252267,4,1
6zOg9gP62RJSsKFeOBAgvH,0.764,0.525,8,-5.968999999999999,1,0.048,0.0296,0.0,0.0993,0.787,95.81299999999999,289413,4,9
6uRH1qMz30ZBwwUG0IYE5s,0.912,0.511,9,-6.365,1,0.203,0.0259,0.0,0.0442,0.611,101.62799999999999,231800,4,7
2AABEJCjbqqRQDmuns6oCU,0.775,0.648,8,-7.567,1,0.0529,0.156,0.0,0.11,0.843,96.01299999999999,260427,4,10
6iajHa34cSiD5s42Cq9miJ,0.706,0.537,7,-6.347,1,0.348,0.008870000000000001,0.0,0.129,0.775,203.74599999999998,225947,4,7
0Zze3tFRSNwL6KllmYjLgZ,0.589,0.47700000000000004,10,-9.025,1,0.29,0.114,0.0,0.188,0.841,125.867,244133,4,6
0ahRDzkKq0KEi7FRoHb0qk,0.677,0.525,7,-9.404,0,0.0483,0.22399999999999998,0.0,0.172,0.924,87.042,198880,4,5
769geiA8btidGHda4BBDOJ,0.66,0.71,1,-4.541,1,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,264933,4,5
06EmqZJolHpHSwNKLHVmqB,0.867,0.68,1,-5.507999999999999,0,0.22899999999999998,0.0679,0.0,0.0935,0.591,101.652,295227,4,13
5S1IUPueD0xE0vj4zU3nSf,0.888,0.515,1,-6.246,1,0.271,0.247,0.0,0.446,0.264,141.009,225893,4,7
6H0AwSQ20mo62jGlPGB8S6,0.8220000000000001,0.505,7,-7.3839999999999995,1,0.147,0.0317,0.0009109999999999999,0.114,0.523,73.003,210200,4,6
4LmAnpjlhWTahvRkYR8xJa,0.768,0.47100000000000003,2,-8.406,1,0.259,0.0201,0.0,0.268,0.405,131.023,267427,4,12
1nX9KhK3Fff27SnrIor2Yb,0.7959999999999999,0.5,1,-7.21,1,0.425,0.11800000000000001,0.0,0.155,0.22699999999999998,75.012,255560,4,6
7w8SYlPLA9bqj7vRHvYNDz,0.8109999999999999,0.7340000000000001,0,-6.626,0,0.33399999999999996,0.364,2.26e-06,0.121,0.5660000000000001,150.06,235897,4,10
2nBI3iWLhupR7LyAJ5GGkE,0.695,0.777,6,-2.452,0,0.0817,0.0661,0.0,0.8740000000000001,0.36,135.01,334253,4,11
5RBW30fFFVav2n0IqFj0fY,0.759,0.644,6,-4.8580000000000005,1,0.11599999999999999,0.326,0.0,0.0469,0.813,89.98299999999999,210773,4,6
39pS70eeDvyCAF3t8NAlVV,0.836,0.7759999999999999,4,-0.804,0,0.239,0.27399999999999997,0.0,0.113,0.37,130.033,222707,4,8
365wwIjijQdlRJEjUWTidq,0.7809999999999999,0.81,10,-4.301,0,0.35600000000000004,0.738,0.0,0.14400000000000002,0.9079999999999999,173.949,234667,4,5
5HtziFfFGxXpugCqZaAHoY,0.7040000000000001,0.5579999999999999,1,-6.042000000000001,1,0.287,0.379,0.00011100000000000001,0.40700000000000003,0.414,163.96400000000003,260009,4,12
62ZlScwF8VZuGEFaAo3TNZ,0.9159999999999999,0.519,2,-12.409,0,0.077,0.293,0.0,0.379,0.7609999999999999,125.137,169000,4,6
3EgvmOhP3NQUHY7d6PDOUg,0.941,0.727,0,-11.592,1,0.228,0.00472,0.000811,0.177,0.623,128.746,276467,4,7
0ioFIQXbTUaliQpsJyX4zN,0.895,0.9,7,-8.905,1,0.195,0.00107,0.000661,0.239,0.8959999999999999,131.671,180573,4,9
2PBTwMH2mzfLigdMyPzOcp,0.9159999999999999,0.742,7,-12.44,1,0.188,0.000288,0.00498,0.0986,0.545,127.809,257640,4,8
1h7gUSJ8GuyCOoVWsvwVy1,0.97,0.7759999999999999,11,-10.728,0,0.263,0.198,3.55e-06,0.22899999999999998,0.736,124.37899999999999,144373,4,2
57goBNSlWZOTn2bLDm1L0s,0.935,0.474,4,-12.911,0,0.115,0.000637,0.0,0.316,0.862,124.751,241467,4,8
7DEpSeyiupvwY5tB8Yqbhh,0.882,0.6,4,-13.33,0,0.156,0.00835,1.1e-05,0.602,0.42700000000000005,124.59700000000001,235867,4,9
4QhjRiHnPswtI1WnnKMXea,0.833,0.818,6,-12.039000000000001,0,0.157,0.0234,0.00023199999999999997,0.925,0.732,112.98,187667,4,8
48bM3lR9UnuFiXRkQ1xgHW,0.898,0.747,5,-7.5089999999999995,1,0.139,0.41100000000000003,0.0,0.177,0.638,124.84,168880,4,5
4plt8w3RVJ28s5FShYyvGR,0.87,0.529,0,-12.297,1,0.0834,0.0155,0.000357,0.84,0.9129999999999999,133.584,205133,4,8
3ssX20QT5c3nA9wk78V1LQ,0.8009999999999999,0.9079999999999999,2,-6.553999999999999,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,278387,4,11
2xTft6GEZeTyWNpdX94rkf,0.873,0.7190000000000001,1,-5.9479999999999995,1,0.248,0.03,0.0,0.33299999999999996,0.858,93.281,307773,4,12
1JClFT74TYSXlzpagbmj0S,0.769,0.852,7,-2.763,1,0.0438,0.0296,1.38e-06,0.44,0.76,91.53200000000001,285027,4,12
0Z2J91b2iTGLVTZC4fKgxf,0.9209999999999999,0.843,7,-4.008,1,0.239,0.0466,0.0,0.0757,0.589,95.193,312627,4,3
13XHuE00ElL5thSxkaEXxK,0.8029999999999999,0.784,11,-5.97,0,0.198,0.0012,0.000161,0.0794,0.8009999999999999,90.185,296907,4,9
4voEoczU7Ijborps9XF1n3,0.8490000000000001,0.42200000000000004,10,-13.95,0,0.122,0.157,1.1900000000000001e-05,0.255,0.624,96.21600000000001,259000,4,11
6tDxrq4FxEL2q15y37tXT9,0.773,0.542,6,-7.136,1,0.126,0.379,0.0,0.129,0.31,84.124,280000,4,9
7jLbTp3qZzah9kMIdW8e5M,0.795,0.615,5,-5.497999999999999,0,0.0471,0.0997,0.0,0.0793,0.6729999999999999,80.535,238053,4,8
1fkBsauD5gmsrjvf0f5VYn,0.8590000000000001,0.6759999999999999,7,-6.099,1,0.0714,0.0459,0.0,0.239,0.32899999999999996,111.10700000000001,268960,4,7
7HFl64GKBtPTa5YoW7j4jL,0.8590000000000001,0.792,2,-4.007,1,0.141,0.065,0.0,0.3,0.7659999999999999,103.20100000000001,276813,4,10
7pSJmBTlbA4S5zSLsj6Pzz,0.652,0.9990000000000001,3,-6.659,1,0.0522,0.0109,0.000646,0.0533,0.637,141.056,223694,4,10
0ibdklhZmwLo3bzHqF435c,0.775,0.862,11,-8.059,0,0.14400000000000002,0.0339,1.26e-05,0.0711,0.8590000000000001,124.84100000000001,222669,4,3
6rEr7AsF3cmfUR3birakRF,0.7,0.99,3,-7.559,0,0.0499,0.0873,0.0021100000000000003,0.151,0.77,127.884,248197,4,7
5q10Ov2JEbODDK2tk4NYWW,0.653,0.982,5,-7.388,0,0.051,0.06,0.00481,0.09699999999999999,0.76,130.07399999999998,218900,4,4
5ISKWtyWgg1y8yYrmxpvmS,0.7120000000000001,0.86,4,-5.669,1,0.355,0.0507,4.49e-05,0.0566,0.359,127.975,175116,4,7
0AUCQKbxc3k6mP74y0LvKZ,0.5920000000000001,0.981,2,-7.403,1,0.132,0.0291,0.000893,0.129,0.44,143.933,219120,4,6
4CCc2yJM4OWoF9ZHd67c4s,0.7709999999999999,0.634,4,-7.64,1,0.203,0.0039,0.000401,0.0967,0.23399999999999999,127.98,261275,4,8
1858zUmAh8myViuoc4dC7B,0.6709999999999999,0.9620000000000001,6,-7.468999999999999,1,0.0452,0.00603,3.289999999999999e-05,0.0501,0.9670000000000001,141.953,218845,4,13
1q9NmfgguvcvcLjQrnoXzM,0.795,0.816,1,-8.617,1,0.0396,0.0355,0.0013599999999999999,0.0771,0.972,132.947,206065,4,8
4364jgP655oU33CaltgtWr,0.536,0.875,5,-9.355,0,0.0366,0.00655,0.455,0.13,0.511,150.035,208022,4,10
2fQrGHiQOvpL9UgPvtYy6G,0.884,0.34600000000000003,8,-8.228,0,0.35100000000000003,0.0151,7.04e-06,0.0871,0.376,75.016,220307,4,6
0dIoGTQXDh1wVnhIiSyYEa,0.9079999999999999,0.524,1,-7.955,1,0.18100000000000002,0.0011099999999999999,0.000678,0.38299999999999995,0.109,138.015,224285,4,7
5u6vkDnOyaf8LsteDAj2ub,0.782,0.436,2,-7.0329999999999995,1,0.155,0.331,1.3000000000000001e-05,0.342,0.243,82.994,268933,4,8
6fwdbPMwP1zVStm8FybmkO,0.835,0.413,1,-9.81,1,0.396,0.373,0.00133,0.10099999999999999,0.111,149.004,258880,4,7
1u0CD4fcBUB1xrG9fNgejh,0.88,0.728,10,-6.939,0,0.205,0.136,5.42e-05,0.337,0.715,160.976,200373,4,5
4gmmRb6bZJffOOiww1JGTO,0.9059999999999999,0.444,4,-8.692,0,0.384,0.136,6.440000000000001e-05,0.17300000000000001,0.6779999999999999,140.063,235040,4,8
