id,name,popularity,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,genre_10,genre_11,genre_12,genre_13,genre_14,genre_15,genre_16,genre_17,genre_18
4DWX7u8BV0vZIQSpJQQDWU,Alter Bridge,65,504268,'alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock',,,,,,,,,,,,,,
1SCWcYnoEh1978ycTDhZoW,Alvin & The Chipmunks,47,49835,"""children's music""",,,,,,,,,,,,,,,,,,
5wugb0kaq0J6nyQ5Xgd17i,Aly & AJ,57,222264,'dance pop', 'electropop', 'girl group', 'neo mellow', 'pop', 'post-teen pop',,,,,,,,,,,,,
35U9lQaRWSQISxQAB94Meo,America,68,457912,'album rock', 'art rock', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'roots rock', 'soft rock',,,,,,,,,,
0MlOPi3zIDMVrfA9R04Fe3,American Authors,68,620498,'brooklyn indie', 'indie poptimism', 'modern alternative rock', 'modern rock', 'neo mellow', 'pop', 'pop rock',,,,,,,,,,,,
4OpfIHMxXIbZBT8tL0PMUE,American Idol's Soundtrack,8,720,,,,,,,,,,,,,,,,,,,
08rMCq2ek1YjdDBsCPVH2s,Amerie,56,334942,'dance pop', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary',,,,,,,,,,,,,
5eCWnDkgZ6Y0mxLZXwb14c,Amg Beats,50,4689,,,,,,,,,,,,,,,,,,,
7GPNaPWw3STF8NYp39pd8G,Amii Stewart,46,17326,'disco', 'hi-nrg',,,,,,,,,,,,,,,,,
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,79,647635,'hip hop', 'indie r&b', 'pop', 'pop rap', 'rap', 'underground hip hop',,,,,,,,,,,,,
72Nhcx7prNk2ZCxhx0Y5es,Amy Grant,54,89063,'ccm', 'christian alternative rock', 'christian music',,,,,,,,,,,,,,,,
6Q192DXotxtaysaqNPy5yR,Amy Winehouse,79,4979192,'neo soul',,,,,,,,,,,,,,,,,,
2XTWgA3XVWe1N4qWBTNQei,Anderson Bruford Wakeman Howe,27,15208,'art rock', 'canterbury scene', 'neo-progressive', 'progressive rock', 'symphonic rock',,,,,,,,,,,,,,
5o8VwH65WkP2WrKliKzACM,Andre Kostelanetz,34,1354,'easy listening',,,,,,,,,,,,,,,,,,
3EA9hVIzKfFiQI0Kikz2wo,Andrea Bocelli,71,706099,'classical tenor', 'operatic pop',,,,,,,,,,,,,,,,,
7MynOMOTsGz8NFcPUImWAp,Andreas Vollenweider,43,30269,'harp', 'new age',,,,,,,,,,,,,,,,,
1KrDd8tfcITeBIHGXXIx4s,Andrew Dice Clay,34,9744,'comedy',,,,,,,,,,,,,,,,,,
4aP1lp10BRYZO658B2NwkG,Andrew Lloyd Webber,66,104218,'broadway', 'hollywood', 'show tunes',,,,,,,,,,,,,,,,
4YPqbAiLzBg5DIfsgQZ8QK,Andy Gibb,52,131248,'adult standards', 'bubblegum pop', 'disco', 'mellow gold', 'soft rock',,,,,,,,,,,,,,
2oX42qP5ineK3hrhBECLmj,Andy Grammer,70,519129,'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop',,,,,,,,,,,,,
7hEbJvh3BAedDS2vVJvx0B,Andy Griffith,30,4084,,,,,,,,,,,,,,,,,,,
7CyJIUpcWZK2zFM6gKLKvD,Andy Griggs,44,36333,'contemporary country', 'country', 'country road', 'modern country rock',,,,,,,,,,,,,,,
4sj6D0zlMOl25nprDJBiU9,Andy Williams,61,145507,'adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'mellow gold', 'operatic pop', 'vocal jazz',,,,,,,,,,,
3Eeb1U0VJTDaFpBHV4DmHl,Angelo Badalamenti,48,36274,'dark jazz', 'soundtrack',,,,,,,,,,,,,,,,,
7xklw3WodFZiNNmQt3DIgp,Angels & Airwaves,59,278961,'emo', 'modern rock', 'pop rock',,,,,,,,,,,,,,,,
2hWr3AjjKOCVmWcwvuT4uM,Angie Stone,56,257474,'neo soul', 'r&b', 'soul', 'urban contemporary',,,,,,,,,,,,,,,
46CH1Gp8l8QVly8bpG9JFG,Anita Baker,58,391145,'disco', 'funk', 'motown', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary',,,,,,,,,
4LoM3lMauQ540MW9QiyIcR,Anna Nalick,52,72916,'acoustic pop', 'folk-pop', 'lilith', 'neo mellow',,,,,,,,,,,,,,,
7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray,54,133276,'adult standards', 'bubblegum pop', 'canadian country', 'canadian pop', 'christmas', 'folk', 'folk rock', 'mellow gold', 'nashville sound', 'soft rock',,,,,,,,,
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,87,1748891,'dance pop', 'pop', 'post-teen pop', 'tropical house',,,,,,,,,,,,,,,
5MspMQqdVbdwP6ax3GXqum,Annie Lennox,62,422213,'folk', 'folk-pop', 'lilith', 'mellow gold', 'new wave pop', 'pop rock', 'scottish new wave', 'soft rock',,,,,,,,,,,
