,external_urls,genres,href,id,images,name,popularity,type,uri,followers_2
1853,{'spotify': 'https://open.spotify.com/artist/3Isy6kedDrgPYoTS1dazA9'},"['dance pop', 'dancehall', 'pop', 'pop rap', 'reggae fusion']",https://api.spotify.com/v1/artists/3Isy6kedDrgPYoTS1dazA9,3Isy6kedDrgPYoTS1dazA9,"[{'height': 640, 'url': 'https://i.scdn.co/image/2b630d40e1dc16992fe7cea9e5d9368f320ed311', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/fbaebff79b83a47cd9fc1353f459541fdcddbdc2', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/c23bdbe73cd9ca7aa398e52960aae91b8b106b13', 'width': 160}]",Sean Paul,82,artist,spotify:artist:3Isy6kedDrgPYoTS1dazA9,2001589
1854,{'spotify': 'https://open.spotify.com/artist/07YUOmWljBTXwIseAUd9TW'},['colombian pop'],https://api.spotify.com/v1/artists/07YUOmWljBTXwIseAUd9TW,07YUOmWljBTXwIseAUd9TW,"[{'height': 640, 'url': 'https://i.scdn.co/image/fbdaf139959dc227503f81cabdbe7a2a4c17d9f4', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/829ecf9560c453c0f53db033bf7eddb8a2bbbd2d', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d9785f43aa5b54fe32c5b3bfb888ccbc1a84a823', 'width': 160}]",Sebastian Yatra,85,artist,spotify:artist:07YUOmWljBTXwIseAUd9TW,3834436
1855,{'spotify': 'https://open.spotify.com/artist/66pXn4ZrPf6yzk5PHGkUZA'},['freestyle'],https://api.spotify.com/v1/artists/66pXn4ZrPf6yzk5PHGkUZA,66pXn4ZrPf6yzk5PHGkUZA,"[{'height': 640, 'url': 'https://i.scdn.co/image/dcfeb118f948dcc728948316af2ad466d32ead1c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/4ba7d510a211785fc12e2923ef162a34cc4dd912', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/27fed16eed270be7d3d4e6dfafe189554ec475a1', 'width': 160}]",Seduction,31,artist,spotify:artist:66pXn4ZrPf6yzk5PHGkUZA,12233
1856,{'spotify': 'https://open.spotify.com/artist/6B5c4sch27tWHAGdarpPaW'},"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",https://api.spotify.com/v1/artists/6B5c4sch27tWHAGdarpPaW,6B5c4sch27tWHAGdarpPaW,"[{'height': 640, 'url': 'https://i.scdn.co/image/cddfeee58dcec485f723a53d63f518aff41c5822', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/5727b310066bc785d85e8312b5e595dcd948bf81', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/959335d1e7b96187ab744040a95b57de9049da75', 'width': 160}]",Seether,71,artist,spotify:artist:6B5c4sch27tWHAGdarpPaW,1294645
1857,{'spotify': 'https://open.spotify.com/artist/5dZiRoY9Vpp6qrxqXNRwPE'},"['ccm', 'christian alternative rock', 'christian music', 'christian relaxative', 'worship']",https://api.spotify.com/v1/artists/5dZiRoY9Vpp6qrxqXNRwPE,5dZiRoY9Vpp6qrxqXNRwPE,"[{'height': 640, 'url': 'https://i.scdn.co/image/d5a33bfe0ef3acb3fd5c8d1842eae60d9047d95f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/1fbf238778c7f3dbf0b98db45bdcda7a305ea768', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/6d8f0f500c7f6c2f3af6411526b9ae234cd45f68', 'width': 160}]",Selah,52,artist,spotify:artist:5dZiRoY9Vpp6qrxqXNRwPE,59669
1858,{'spotify': 'https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx'},"['dance pop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx,0C8ZW7ezQVs4URX5aX7Kqx,"[{'height': 640, 'url': 'https://i.scdn.co/image/19306408650f31ea619bde16bf09fd4b68480909', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/89dca11da29eee5944f7032a64ed96a9525dcf25', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e5bba1be80a88cb765b9cab8fcd6b7a161aa6688', 'width': 160}]",Selena Gomez,85,artist,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,11547865
1859,{'spotify': 'https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx'},"['dance pop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx,0C8ZW7ezQVs4URX5aX7Kqx,"[{'height': 640, 'url': 'https://i.scdn.co/image/19306408650f31ea619bde16bf09fd4b68480909', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/89dca11da29eee5944f7032a64ed96a9525dcf25', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/e5bba1be80a88cb765b9cab8fcd6b7a161aa6688', 'width': 160}]",Selena Gomez,85,artist,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx,11547865
1860,{'spotify': 'https://open.spotify.com/artist/6dJeKm76NjfXBNTpHmOhfO'},"['dance pop', 'pop', 'post-teen pop', 'viral pop']",https://api.spotify.com/v1/artists/6dJeKm76NjfXBNTpHmOhfO,6dJeKm76NjfXBNTpHmOhfO,"[{'height': 1333, 'url': 'https://i.scdn.co/image/469b6a74f5ddca9560e9f5137842e3772c8576c0', 'width': 1000}, {'height': 853, 'url': 'https://i.scdn.co/image/e732af47c9b0c55a56a2eb9dc554928212f344bb', 'width': 640}, {'height': 267, 'url': 'https://i.scdn.co/image/b73fec33c90639d9586681afffcf6773d48a8103', 'width': 200}, {'height': 85, 'url': 'https://i.scdn.co/image/ed02316da670954a09d1283204724e7987408611', 'width': 64}]",Selena Gomez & The Scene,67,artist,spotify:artist:6dJeKm76NjfXBNTpHmOhfO,2982536
1861,{'spotify': 'https://open.spotify.com/artist/1TqQi97nqeiuOJrIFv5Sw0'},"['alternative rock', 'pop rock', 'post-grunge']",https://api.spotify.com/v1/artists/1TqQi97nqeiuOJrIFv5Sw0,1TqQi97nqeiuOJrIFv5Sw0,"[{'height': 1249, 'url': 'https://i.scdn.co/image/0dd71365c809346a596495edefb184e8f1b57069', 'width': 1000}, {'height': 800, 'url': 'https://i.scdn.co/image/0256a06d250d021594461e6ec9c0bbad10643aa1', 'width': 640}, {'height': 250, 'url': 'https://i.scdn.co/image/721724af95a04746858ac37fa9c2431548e7fbcf', 'width': 200}, {'height': 80, 'url': 'https://i.scdn.co/image/3663c94eb8e094680cf8d71109f88fe3ec7a406a', 'width': 64}]",Semisonic,62,artist,spotify:artist:1TqQi97nqeiuOJrIFv5Sw0,157683
1862,{'spotify': 'https://open.spotify.com/artist/6JW8wliOEwaDZ231ZY7cf4'},"['alternative metal', 'brazilian metal', 'death metal', 'groove metal', 'hard rock', 'latin metal', 'metal', 'nu metal', 'rap metal', 'rap rock', 'rock', 'speed metal', 'thrash metal']",https://api.spotify.com/v1/artists/6JW8wliOEwaDZ231ZY7cf4,6JW8wliOEwaDZ231ZY7cf4,"[{'height': 640, 'url': 'https://i.scdn.co/image/708db78480fa902437bb3ab8a40de6e9a9ff9cd3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/0b2998d09e1cac23ca3f0a06c8e2cc8e757c0653', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/212e869a3452c61eae1a0e0bbc1c27554869422b', 'width': 160}]",Sepultura,60,artist,spotify:artist:6JW8wliOEwaDZ231ZY7cf4,661403
1863,{'spotify': 'https://open.spotify.com/artist/6hCsqVHnBo1BVQWuIjRMkL'},['bossa nova'],https://api.spotify.com/v1/artists/6hCsqVHnBo1BVQWuIjRMkL,6hCsqVHnBo1BVQWuIjRMkL,"[{'height': 634, 'url': 'https://i.scdn.co/image/a067ca26258a6d1d69fbc216eb1b19d0b82aef07', 'width': 640}, {'height': 297, 'url': 'https://i.scdn.co/image/2ad32e2ac66909812e4682020d073ff94f2bde71', 'width': 300}, {'height': 63, 'url': 'https://i.scdn.co/image/c9f76b1e9c2770af76b917b5acf3020c3c18c10b', 'width': 64}]",Sergio Mendes & Brasil '66,51,artist,spotify:artist:6hCsqVHnBo1BVQWuIjRMkL,40073
